"Marital status, age group and gender: Canada, provinces and territories, census divisions, census subdivisions and dissemination areas"
"Frequency: Occasional"
"Table: 98-10-0129-01"
"Release date: 2022-07-13"
"Geography: Canada, Province or territory, Census division, Census subdivision, Dissemination area"
"Universe: Population 15 years of age and older, 2021 Census — 100% data"
"Variable List: Marital status (13), Gender (3), Age (16)"

"Geography","Gender (3) 1 2","Marital status (13)","Age (16) 3","Vector","Coordinate","2021"
"Ontario i20612","Total - Gender","Total - Marital status","Total - Age","..","20612.1.1.1","11,972,150"
,,,"15 to 19 years","..","20612.1.1.2","801,455"
,,,"20 to 24 years","..","20612.1.1.3","895,595"
,,,"25 to 29 years","..","20612.1.1.4","975,400"
,,,"30 to 34 years","..","20612.1.1.5","981,210"
,,,"35 to 39 years","..","20612.1.1.6","948,030"
,,,"40 to 44 years","..","20612.1.1.7","890,160"
,,,"45 to 49 years","..","20612.1.1.8","894,585"
,,,"50 to 54 years","..","20612.1.1.9","941,265"
,,,"55 to 59 years","..","20612.1.1.10","1,040,165"
,,,"60 to 64 years","..","20612.1.1.11","966,580"
,,,"65 to 69 years","..","20612.1.1.12","813,210"
,,,"70 to 74 years","..","20612.1.1.13","691,275"
,,,"75 to 79 years","..","20612.1.1.14","469,485"
,,,"80 to 84 years","..","20612.1.1.15","325,115"
,,,"85 years and over","..","20612.1.1.16","338,615"
,,"Married or living common-law","Total - Age","..","20612.1.2.1","6,769,725"
,,,"15 to 19 years","..","20612.1.2.2","4,105"
,,,"20 to 24 years","..","20612.1.2.3","85,055"
,,,"25 to 29 years","..","20612.1.2.4","343,280"
,,,"30 to 34 years","..","20612.1.2.5","597,550"
,,,"35 to 39 years","..","20612.1.2.6","674,765"
,,,"40 to 44 years","..","20612.1.2.7","655,090"
,,,"45 to 49 years","..","20612.1.2.8","660,600"
,,,"50 to 54 years","..","20612.1.2.9","682,620"
,,,"55 to 59 years","..","20612.1.2.10","743,050"
,,,"60 to 64 years","..","20612.1.2.11","687,240"
,,,"65 to 69 years","..","20612.1.2.12","571,920"
,,,"70 to 74 years","..","20612.1.2.13","471,990"
,,,"75 to 79 years","..","20612.1.2.14","298,100"
